BIMTypeCode;BIMTypeCode-Description;IfcTypeObject;PredefinedType;IfcGroup;IfcGroup-PredefinedType;CCS;FVK
323;Indvendige døre, glasvægsystem;IfcDoorType;DOOR;;;;
324;Indvendige vinduesopluk, glasvægsystemer;IfcWindowType;WINDOW;;;;
325;Indvendige ruder, blændfelter og karmprofiler,glasvægsystemer;;;;;;
326;Indvendige porte og karruseldøre;IfcDoorType;GATE;;;;
327;Bevægelige indervægge;IfcWallType;MOVABLE;;;;
328;Indvendige, afskærmning;;;;;;
329;Øvrigt, Indervægskompletteringer;;;;;;
33;Dæk og gulve, komplettering;;;;;;
331;Opbyggede gulve;IfcCoveringType;FLOORING;;;;
332;Svømmende gulve;IfcCoveringType;FLOORING;;;;
333;Riste, måtterammer;IfcCoveringType;USERDEFINED;;;;
334;Støbte- og flydende gulve;IfcCoveringType;FLOORING;;;;
335;- verkant -;;;;;;
336;- verkant -;;;;;;
337;Gulvlemme;IfcDoorType;TRAPDOOR;;;;
338;Gelændere, rækværker og håndlister;IfcRailingType;HANDRAIL;;;;
339;Øvrigt, Dækkompletteringer;;;;;;
34;Trapper og ramper, komplettering;;;;;;
341;Gelændere, rækværker og håndlister;IfcRailingType;GUARDRAIL;;;;
342;- verkant -;;;;;;
343;- verkant -;;;;;;
349;Øvrigt, Trappekompletteringer;;;;;;
35;Lofter, komplettering;;;;;;
351;Indvendige nedhængte lofter;IfcCoveringType;CEILING;;;;
352;Udvendige nedhængte lofter;IfcCoveringType;CEILING;;;;
353;Indvendige påbyggede lofter;IfcCoveringType;CEILING;;;;
354;Udvendige påbyggede lofter;IfcCoveringType;CEILING;;;;
355;Indvendige loftskørter;;;;;;
356;Udvendige loftskørter;;;;;;
357;- verkant -;;;;;;
359;Øvrigt, Loftkompletteringer;;;;;;
36;Altaner og altangange, komplettering;;;;;;
361;Rækværker, brystninger;;;;;;
369;Øvrigt, Altaner og altangange kompletteringer;;;;;;
37;Tage, komplettering;;;;;;
371;Kviste;IfcRootType;;;;;
372;Ovenlys, røg- og taglemme;IfcWindowType;WINDOW;;;;
373;Solskærme til ovenlys;;;;;;
374;Sikring;IfcRailingType;BALUSTRADE;;;;
375;- verkant -;;;;;;
376;Inddækninger;;;;;;
377;Belægninger på færdige tagflader;;;;;;
379;Øvrigt, Tagkompletteringer;;;;;;
39;Kompletterende bygningsdele bygning, øvrige;;;;;;
4;Overfladebygningsdele;;;;;;
40;Overflader, terræn;;;;;;
401;Asfalt belægninger;IfcCoveringType;;;;;
402;Betonstøbte belægninger;IfcCoveringType;;;;;
403;Gummibelægninger;IfcCoveringType;;;;;
404;Flise -og stenbelægninger;IfcCoveringType;;;;;
405;Skærver og grus;IfcCoveringType;;;;;
406;Brolægning;IfcCoveringType;;;;;
407;Afstribninger og markeringer;;;;;;
409;Øvrigt, Belægninger;;;;;;
41;Udvendige vægoverflader;;;;;;
411;- verkant -;;;;;;
412;Beklædninger, påmurede, pudsede;IfcCoveringType;CLADDING;;;;
413;Beklædninger, monterede;IfcCoveringType;CLADDING;;;;
419;Øvrigt, Udvendige vægoverflader;;;;;;
42;Indvendige vægoverflader;;;;;;
421;- verkant -;;;;;;
422;Beklædninger, påmurede, pudsede;IfcCoveringType;CLADDING;;;;
